primary_key,OUTPUT:answer1,OUTPUT:confidence1,OUTPUT:answer2,OUTPUT:confidence2,ai_dec,agreement1,agreement2,cw_acc1,cw_acc2,ground_truth,context
019e929fedc24de0fcde80ae0c6e4dac,0,5.0,0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,loan
061619daa9a20c17f4b9d63e3b10c1a7,1,6.0,1,6.0,1.0,1.0,1.0,0.0,0.0,0.0,loan
088415ade86538b4f2ead4f7a341753c,0,5.0,0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,loan
19d4a14880e187323ea768ebfda1b780,0,3.0,1,4.0,1.0,0.0,1.0,1.0,0.0,0.0,loan
20c8688e689a6923144e7d1d2bd1b198,0,3.0,0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,loan
273aee95dc0a07f731401aa44f03d486,0,5.0,0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,loan
2af9a49b7380cb8ece9588212ea4b171,0,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,loan
2dc9236036a0433f7287dbc35cbd4d20,1,4.0,1,4.0,0.0,0.0,0.0,1.0,1.0,1.0,loan
33f2bddfcafd962afbf00a98c01e2aa2,0,6.0,0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,loan
36833a7957de8617cb2d4a1228ea078c,0,1.0,1,5.0,1.0,0.0,1.0,0.0,1.0,1.0,loan
3bff8ff247b183747777b1650b6fb6e5,1,5.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,loan
3e22f87dd8e6d99a6c33a9d8cce233a2,0,4.666666666666667,1,5.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.0,loan
3fb8aff27357faf9e2e8cae44af5a26f,0,4.0,0,4.0,1.0,0.5,0.0,1.0,0.5,0.5,loan
40794efb4a5333c7891f667a6ea00488,0,4.0,0,4.0,0.5,0.5,0.5,0.5,0.5,0.5,loan
44d034a4c4a3a986bb263d4d4bf32af6,0,5.0,0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,loan
4dfef8ee6d3e31818399c194d34fd00f,1,4.0,1,4.0,1.0,1.0,1.0,0.0,0.0,0.0,loan
587681033b9490ef5c68ffdde95f2e0b,0,4.0,0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,loan
5a168bc26679ef88267ebf61b855b645,0,6.0,0,,1.0,0.0,0.0,1.0,1.0,0.0,loan
5d3e0cf99b88afb7fd1f33fa2dcff477,1,4.0,1,,0.0,0.0,0.0,1.0,1.0,1.0,loan
5e0d15a9f26e60a4be169efa80f91ad3,0,4.0,0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,loan
5eeab07530bf8daed6264bfb7ab5bf8c,0,2.0,0,4.0,0.5,0.0,0.0,1.0,1.0,0.5,loan
5f34d7cca1707bfcd339bf7dee18633b,1,6.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,loan
654e43452f1db02435498117826b88d9,0,4.0,0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,loan
