ASSIGNMENT:worker_id,INPUT:emp_title,OUTPUT:answer1,OUTPUT:confidence1,OUTPUT:excerpt1,OUTPUT:answer2,OUTPUT:confidence2,OUTPUT:excerpt2,ai_dec,agreement1,agreement2,cw_acc1,cw_acc2,ground_truth
e0681ec55630751f4d809c6a5a1f2c73,Driver,0.0,7.0,"""Despite the borrower's annual income of $27,000, they have been employed as a driver for 10 years, indicating stability and a consistent income source. Although the interest rate of 21.45% is relatively high, the borrower's debt-to-income ratio of 5.11 suggests a manageable level of debt.""",0.0,7.0,"""Despite the borrower's annual income of $27,000, they have been employed as a driver for 10 years, indicating stability and a consistent income source. Although the interest rate of 21.45% is relatively high, the borrower's debt-to-income ratio of 5.11 suggests a manageable level of debt.""",1,0.0,0.0,1.0,1.0,0.0
3e22f87dd8e6d99a6c33a9d8cce233a2,Driver,0.0,5.0,"""These factors collectively suggest a low risk, implying a good probability of repayment.""",1.0,4.0,"""These factors collectively indicate a higher risk and imply a lower probability of repayment.""",1,0.0,1.0,1.0,0.0,0.0
887aed643646dfb3c599924f3d50e21b,General manager,1.0,5.0,"""debt consolidation, a loan amount of $35,000, and a high interest rate of 22.9%. limited available credit, suggests potential financial strain. """,1.0,4.0,"""debt consolidation, a loan amount of $35,000, and a high interest rate of 22.9%. limited available credit, suggests potential financial strain. """,1,1.0,1.0,0.0,0.0,0.0
5eeab07530bf8daed6264bfb7ab5bf8c,Counselor,1.0,2.0,"""Based on the provided information, there are a few factors that raise concerns regarding the individual's ability to repay the loan. While the annual income of $83,000 """,1.0,5.0,"""Decision-maker 2 was: Human""",0,0.0,0.0,1.0,1.0,1.0
dd838baec74ba5ba55025c4b4befbfc6,Operational risk manager,0.0,7.0,"""Their annual income of $210,000 demonstrates a high earning capacity, increasing the likelihood of timely loan repayments.""",0.0,5.0,"""With a debt-to-income ratio of 9.53, the individual's current debt obligations are relatively low compared to their income, indicating a manageable financial situation. Furthermore, the loan amount of $5,000 is relatively small compared to their total credit limit of $322,046, suggesting that the individual has a strong credit profile and is capable of managing their existing credit lines effectively. Considering these factors, the person is expected to pay the loan on time.""",0,1.0,1.0,0.0,0.0,1.0
6fbe88e4e47375d4f34b1e5364155dcd,Assistant district attorney,1.0,6.0,""" high probability of the ability to repay the loan The loan purpose of debt consolidation could indicate a responsible approach to managing financial obligations.""",1.0,4.0,"""REQUIRED""",1,1.0,1.0,0.0,0.0,0.0
019e929fedc24de0fcde80ae0c6e4dac,Driver,0.0,5.0,""" Despite the borrower's annual income of $27,000, they have been employed as a driver for 10 years, indicating stability and a consistent income source. Although the interest rate of 21.45% is relatively high, the borrower's debt-to-income ratio of 5.11 suggests a manageable level of debt. """,0.0,7.0,""" Despite the borrower's annual income of $27,000, they have been employed as a driver for 10 years, indicating stability and a consistent income source. Although the interest rate of 21.45% is relatively high, the borrower's debt-to-income ratio of 5.11 suggests a manageable level of debt. """,1,0.0,0.0,1.0,1.0,0.0
3e22f87dd8e6d99a6c33a9d8cce233a2,General manager,0.0,5.0,"""The individual's total credit lines of 14 and open credit lines of 8 further demonstrate a responsible approach to credit.""",0.0,5.0,"""Considering these aspects, there is a heightened likelihood that the person may encounter challenges repaying the loan.""",1,0.0,0.0,1.0,1.0,0.0
e9cdfbebe495251273eb173046071ce6,Welder,1.0,1.0,"""the individual has an annual income of $83,000 as a welder, indicating a reasonable income level. Although they have only been employed for 1 year, the consistent income stream suggests potential stability in their job""",1.0,1.0,""" $20,000 may result in higher monthly payments, which could strain their financial situation further. Considering these""",1,1.0,1.0,1.0,1.0,1.0
e9882966cb0434ecd339e08151085bd0,Assistant district attorney,0.0,5.0,"""While the loan amount of $13,600 is significant compared to the annual income of $62,000, the individual's employment as an assistant district attorney suggests a stable and relatively secure job.""",1.0,3.0,"""Additionally, the high interest rate of 19.03% suggests a higher risk for defaulting on the loan. The purpose of the loan, debt consolidation, implies existing financial obligations, further increasing the borrower's financial strain.""",1,0.0,1.0,1.0,0.0,0.0
