primary_key,OUTPUT:answer1,OUTPUT:confidence1,ai_dec,agreement1,cw_acc1,ground_truth,context
Ammar Kahok,1,4.5,0.0,0.25,0.0,0.0,recid
Darrell Blackburn,0,5.0,0.0,0.5,1.0,0.0,recid
Duc Nguyen,1,5.8,1.0,1.0,1.0,1.0,recid
Ed Philo,1,6.5,0.0,0.0,1.0,1.0,recid
Giovanna Flores,0,5.25,0.0,0.5,1.0,0.0,recid
Jackson Exalus,1,5.0,1.0,0.6666666666666666,1.0,1.0,recid
Lawrence Derubeis,1,4.666666666666667,0.0,0.3333333333333333,1.0,1.0,recid
Nadine Chambers,1,5.166666666666667,0.0,0.16666666666666666,1.0,1.0,recid
Nelson Avalo,0,2.6666666666666665,0.0,0.6666666666666666,0.0,1.0,recid
Pedro Rodriguez,0,5.333333333333333,0.0,0.5,0.0,1.0,recid
Quavon Woodcock,1,6.0,0.0,0.0,0.0,0.0,recid
Ravenne Osceola,1,5.833333333333333,0.0,0.16666666666666666,1.0,1.0,recid
Robert Hauselt,1,5.666666666666667,1.0,0.8333333333333334,1.0,1.0,recid
Sarai Beas-Gonzalez,1,4.5,1.0,1.0,0.0,0.0,recid
Victor Moreno,0,4.5,1.0,0.5,0.0,1.0,recid
Assistant district attorney,0,6.0,1.0,0.3333333333333333,1.0,0.0,loan
Claims adjudicator,0,4.333333333333333,1.0,0.3333333333333333,0.0,1.0,loan
Counselor,1,3.8,0.0,0.4,1.0,1.0,loan
Driver,1,5.6,1.0,0.6,0.0,0.0,loan
General manager,1,4.2,1.0,0.6,0.0,0.0,loan
Medical assistant,1,4.0,1.0,0.75,0.0,0.0,loan
Operational risk manager,0,4.0,0.0,0.5,0.0,1.0,loan
Project manager,1,4.0,0.0,0.4,0.0,0.0,loan
QC lead,0,3.3333333333333335,1.0,0.3333333333333333,1.0,0.0,loan
Regional manager,1,7.0,0.0,0.0,0.0,0.0,loan
Rehab manager,0,4.5,0.0,0.5,0.0,1.0,loan
Sales,0,4.5,1.0,0.5,1.0,0.0,loan
Service technician,1,4.0,1.0,1.0,1.0,1.0,loan
Supplies clerk,1,5.0,0.0,0.3333333333333333,0.0,0.0,loan
Welder,1,5.8,1.0,0.6,1.0,1.0,loan
