primary_key,OUTPUT:answer1,OUTPUT:confidence1,ai_dec,agreement1,cw_acc1,ground_truth,context
0489b83d93e0732d6866a93d5f439ea8,1,5.0,0.0,0.0,1.0,1.0,recid
07d2e7d52c9f13f3183d5070de8525ed,1,5.0,1.0,1.0,1.0,1.0,recid
0f949ac7d0da3ad63f30d4ca6d0c317c,1,6.5,0.5,0.5,0.0,0.5,recid
10dab3f1be0b7ab0a8c4dc8e73e907ce,0,4.0,1.0,0.0,0.0,1.0,recid
15fc68fee0a3b02f3c1c52942b707168,1,7.0,0.0,0.0,1.0,1.0,recid
1958789bf51b158cb7c4d7b98fe3d3ea,1,6.0,0.0,0.0,1.0,1.0,recid
19625ad18de9edccf8615d98e7c2847b,1,5.0,0.0,0.0,0.0,0.0,recid
1a83ac15bd3daca7b355e1bd5604ea67,0,6.0,0.0,1.0,0.0,1.0,recid
1de9319d8543f4d007074453a8047d8a,1,5.0,0.0,0.0,1.0,1.0,recid
2b37e088267ae0851b28cc6941d6cdd3,1,5.0,1.0,1.0,1.0,1.0,recid
32ff736e725cf763b4d45871189ef1eb,1,4.0,0.0,0.0,0.0,0.0,recid
37aa25bf886d09eba1a60c260b9f8139,1,7.0,0.0,0.0,1.0,1.0,recid
3e22f87dd8e6d99a6c33a9d8cce233a2,1,5.0,0.0,0.0,0.0,0.0,recid
3e6e8e1ded87add613f92ef430177b5a,1,5.0,1.0,1.0,1.0,1.0,recid
40794efb4a5333c7891f667a6ea00488,0,4.0,0.0,1.0,0.0,1.0,recid
417a59dfd1f69b9caa4f6c7e305b1fe4,1,5.0,0.0,0.0,1.0,1.0,recid
44df9fbd99b7b553079cfd04c42068a9,0,5.0,0.0,1.0,1.0,0.0,recid
4c15f4687a8170448756e4e1adef6b51,1,6.0,1.0,1.0,1.0,1.0,recid
4f2f868de371516304c1ebf8ffd26b78,1,5.0,0.0,0.0,0.0,0.0,recid
50ab9af4590ba47552d118ad98557973,1,6.0,0.0,0.0,1.0,1.0,recid
55be4f773a215297682d024faef5055b,1,7.0,0.0,0.0,1.0,1.0,recid
5677cbaf42ea8c76a0cea3a94b9a2d88,1,5.0,0.0,0.0,1.0,1.0,recid
56aa9bbda66aa9c0e2be3f493edd2b1f,0,2.0,0.0,1.0,0.0,1.0,recid
5e0d15a9f26e60a4be169efa80f91ad3,0,4.0,1.0,0.0,0.0,1.0,recid
5f34d7cca1707bfcd339bf7dee18633b,1,4.0,1.0,1.0,0.0,0.0,recid
61ad033dea740605c99a9b615f70addd,1,7.0,0.0,0.0,0.0,0.0,recid
6638080f639b7d9aca2d27283204c725,0,5.0,0.0,1.0,1.0,0.0,recid
749c89e5f4c6c86cecbeea3f357b0863,0,4.0,1.0,0.0,0.0,1.0,recid
761c964ab89acf360c90b5b3c2c4b05c,1,1.0,0.0,0.0,1.0,1.0,recid
7d7d96ababa6a192f6e8de4a50e924a2,1,6.0,1.0,1.0,0.0,0.0,recid
8fbe72651ceb0df1b0b1e2e7d68b910a,1,4.0,0.0,0.0,1.0,1.0,recid
91a2786f8bb9c9055a2762fcc87356c9,1,5.0,0.5,0.5,0.0,0.5,recid
9a75226f7d12d7d900bcafe3b65de1e7,1,6.0,1.0,1.0,1.0,1.0,recid
9e5fa8d8d947b6faa2f00dfc6fe642af,1,6.0,0.0,0.0,1.0,1.0,recid
9ecb6928e6cdd21e17d037ffdad05133,1,6.0,1.0,1.0,1.0,1.0,recid
a0bbdf4ca227386b506c84efa6b133eb,0,6.0,0.0,1.0,1.0,0.0,recid
a210d294105374a41d2cfc22c481f29e,0,1.0,0.0,1.0,0.0,1.0,recid
a2e811648fc213cbda110db6084bda95,0,5.0,1.0,0.0,0.0,1.0,recid
ac6549d17ec4cf42193b69d27bf3f8e0,1,4.0,1.0,1.0,0.0,0.0,recid
ae00fb334fafa37f4a333fc507cc644b,0,7.0,0.0,1.0,0.0,1.0,recid
b9dd691bdde6d4c47919cf9025e54a94,1,6.0,0.0,0.0,1.0,1.0,recid
be85f2928df1008813594edfa4b5fda2,0,4.0,0.5,1.0,0.0,1.0,recid
bf20d15222088e068fe11e8065cb3bd6,1,6.0,0.0,0.0,0.0,0.0,recid
c20b7585acff02415ff7a08dc1a23340,0,5.0,0.5,1.0,0.0,0.5,recid
