primary_key,OUTPUT:answer1,OUTPUT:confidence1,OUTPUT:answer2,OUTPUT:confidence2,ai_dec,agreement1,agreement2,cw_acc1,cw_acc2,ground_truth,context
01eb0a5678f3d2313141dfd87995fcc5,1,6.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,recid
02003a55bfd0552968a617d49c002f01,0,5.0,0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,recid
02ae08c68d7aff17cd087f0a1b89ff16,1,5.0,1,6.0,1.0,1.0,1.0,0.0,0.0,0.0,recid
050e6268089455eea9e21091b91c2feb,1,7.0,1,7.0,0.0,0.0,0.0,1.0,1.0,1.0,recid
0cbb43de8d1d7e426c0fcc56b003dd92,1,6.0,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,recid
0e8cff42d4860bc39a6d0239e5957de5,1,5.0,0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,recid
0fea213a662afdddcd3e84e16542f4ba,1,6.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,recid
12839fd37471389b5beb25899338cc27,0,2.0,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,recid
149205951c054ea5c368c4adcea89b2a,1,2.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,recid
20787897fb4e23cc363f363ca81a6a98,1,4.0,1,4.0,0.0,0.0,0.0,1.0,1.0,1.0,recid
22a22e9bc6e5e00fb296ac6f4285aa81,1,6.0,0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,recid
26eeff6ac0c2cd0891dfda8629c45514,1,4.0,1,7.0,1.0,1.0,1.0,1.0,1.0,1.0,recid
2b3018193cc02411dcd7ae6359b0266b,1,4.0,1,4.0,0.0,0.0,0.0,1.0,1.0,1.0,recid
2d237c84b58a561239467f33a65445f7,1,5.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,recid
33517ae2fa86ab723a840c21ddbbecd1,0,2.0,0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,recid
33eafdff6ce7ca3b899dfb2194239227,0,4.0,0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,recid
3a3b60754293d044bbd16ceead01b6c6,1,5.0,1,5.0,0.0,0.0,0.0,1.0,1.0,1.0,recid
3ae617487dd858fe3a24f307dc424d4d,0,4.0,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,recid
3dfc0f677a7cba5434f01aa5600598fb,1,5.0,1,7.0,1.0,1.0,1.0,0.0,0.0,0.0,recid
3e81d48d178c5264b4053771b676f7d8,1,6.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,recid
40794efb4a5333c7891f667a6ea00488,0,4.0,0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,recid
433033f808d9a7054c1c677962a2113d,1,5.0,1,5.0,1.0,1.0,1.0,1.0,1.0,1.0,recid
45fe92c99530c783b8a22d974c8a766d,1,6.0,1,7.0,0.0,0.0,0.0,1.0,1.0,1.0,recid
48a77608a07a04710d8a6e9c2866562c,1,1.0,0,,0.0,0.0,1.0,0.0,1.0,0.0,recid
49d9b9fdaa059f41cb21ca572bd65cfa,1,7.0,1,7.0,0.0,0.0,0.0,1.0,1.0,1.0,recid
50ab9af4590ba47552d118ad98557973,0,4.0,0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,recid
52d48b2d97497eb8094a4fe1b25e0c71,0,7.0,0,7.0,0.0,1.0,1.0,0.0,0.0,1.0,recid
61191c6fde38dd8f0363561f329ab599,1,5.0,1,5.0,1.0,1.0,1.0,1.0,1.0,1.0,recid
6883c23a7f747a2a6d4b0cfd859c4bd3,1,2.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,recid
699fa97d118b6d2e0cb04dd38eea0d89,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,recid
7237e8fe879258fc883640fe7a11f903,0,5.5,0,5.5,0.5,0.0,0.0,0.5,0.5,1.0,recid
7931125df44fb56560d69ade63dc0804,1,6.0,1,6.0,0.0,0.0,0.0,1.0,1.0,1.0,recid
7fb1ed8980b588a153eaf3ee1ced51a8,0,5.0,0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,recid
863f1dd9c1a62e7b387668fb65576f07,1,4.0,1,6.0,1.0,1.0,1.0,1.0,1.0,1.0,recid
